date,max_temp,time,min_temp,time,max_humidity,time,min_humidity,time,avg_wind_speed (km/h),avg_wind_direction,rain,max_soil_temp,min_soil_temp,solar_rad
2020-10-20T00:00:00,29.7,2020-10-20T14:30:24,13.8,2020-10-20T05:20:00,87,2020-10-20T05:20:00,30,2020-10-20T14:30:24,15.1,101.9,0.4,37.1,9.9,189
2020-10-21T00:00:00,21.5,2020-10-21T10:19:44,12.9,2020-10-21T05:20:00,97,2020-10-21T23:50:24,58,2020-10-21T10:19:44,11.3,103.4,0.2,28.7,16.7,66
2020-10-22T00:00:00,26.8,2020-10-22T15:00:16,14.5,2020-10-22T05:29:36,97,2020-10-22T00:00:00,54,2020-10-22T15:00:16,11.4,87.4,3.4,22.3,18.9,169
2020-10-23T00:00:00,27.5,2020-10-23T14:00:32,16.2,2020-10-23T04:59:44,91,2020-10-23T04:50:08,55,2020-10-23T14:30:24,14,70.3,0,23.4,19,115
2020-10-24T00:00:00,21.3,2020-10-24T10:10:08,16.1,2020-10-24T03:39:44,95,2020-10-24T05:20:00,67,2020-10-24T02:00:32,12.8,90.6,16.8,106.1,18.9,61
2020-10-25T00:00:00,29.2,2020-10-25T15:09:52,17,2020-10-25T19:09:52,94,2020-10-25T20:40:32,45,2020-10-25T15:09:52,10.9,210.3,11,27.3,18.5,175
2020-10-26T00:00:00,27.5,2020-10-26T16:09:36,13.8,2020-10-26T05:10:24,96,2020-10-26T06:02:40,37,2020-10-26T16:09:36,7.3,210.6,0.2,56.3,2.5,215
2020-10-27T00:00:00,26.2,2020-10-27T11:50:24,12.6,2020-10-27T02:30:24,94,2020-10-27T13:29:36,57,2020-10-27T11:50:24,15.7,115.4,23.6,45.7,17.9,130
2020-10-28T00:00:00,26.3,2020-10-28T12:59:44,14.6,2020-10-28T05:10:24,93,2020-10-28T04:50:08,58,2020-10-28T12:59:44,18.2,97.3,5.8,33.2,17.7,180
2020-10-29T00:00:00,27.3,2020-10-29T15:00:16,12.3,2020-10-29T23:50:24,93,2020-10-29T03:09:52,24,2020-10-29T12:59:44,8.6,218.1,0,127.9,3.3,256
2020-10-30T00:00:00,33.1,2020-10-30T15:09:52,9.9,2020-10-30T05:10:24,84,2020-10-30T02:00:32,17,2020-10-30T14:40:00,11.8,102.4,0,127.9,7.1,260
2020-10-31T00:00:00,30.6,2020-10-31T14:00:32,15.8,2020-10-31T05:29:36,73,2020-10-31T03:00:16,19,2020-10-31T16:59:44,11.5,238.9,0,25.1,19.3,204
2020-11-01T00:00:00,29.4,2020-11-01T15:39:44,11.4,2020-11-01T05:10:24,76,2020-11-01T05:20:00,27,2020-11-01T14:10:08,10,224.8,0,25.5,18.2,271
2020-11-02T00:00:00,29.9,2020-11-02T15:00:16,12.5,2020-11-02T05:10:24,82,2020-11-02T05:20:00,30,2020-11-02T14:40:00,12,135.6,0,26.6,19,257
2020-11-03T00:00:00,31.3,2020-11-03T16:29:52,13.2,2020-11-03T05:10:24,81,2020-11-03T04:59:44,26,2020-11-03T16:29:52,12.6,127.8,0,27.8,19.5,269
2020-11-04T00:00:00,32,2020-11-04T16:20:16,11.8,2020-11-04T05:10:24,83,2020-11-04T04:20:16,29,2020-11-04T15:50:24,8,148.8,0,28.4,20.2,268
2020-11-05T00:00:00,36,2020-11-05T14:00:32,14.9,2020-11-05T05:10:24,83,2020-11-05T04:50:08,18,2020-11-05T15:20:32,19.6,217.6,0,27.1,21.7,242
